Insertion sort 5000 length array results
I, 1, 5000, 11552798, 45084, 12497500
I, 2, 5000, 8866698, 33997, 12497500
I, 3, 5000, 8700250, 33014, 12497500
I, 4, 5000, 11255852, 44336, 12497500
I, 5, 5000, 7798977, 29971, 12497500
I, 6, 5000, 9646482, 36638, 12497500
I, 7, 5000, 9437991, 36544, 12497500
I, 8, 5000, 11213478, 43310, 12497500
I, 9, 5000, 9276551, 35147, 12497500
I, 10, 5000, 9207068, 35261, 12497500
Insertion sort 25000 length array results
I, 1, 25000, 206946040, 750738, 312497500
I, 2, 25000, 210804938, 765377, 312497500
I, 3, 25000, 277619718, 1011372, 312497500
I, 4, 25000, 200888596, 757637, 312497500
I, 5, 25000, 217811502, 824112, 312497500
I, 6, 25000, 300626051, 1282739, 312497500
I, 7, 25000, 235837730, 871288, 312497500
I, 8, 25000, 220258445, 801057, 312497500
I, 9, 25000, 216455041, 789196, 312497500
I, 10, 25000, 265421061, 968522, 312497500
Insertion sort 50000 length array results
I, 1, 50000, 952834768, 3485137, 1249975000
I, 2, 50000, 1201573897, 4408533, 1249975000
I, 3, 50000, 1103209364, 4071038, 1249975000
I, 4, 50000, 879394043, 3299502, 1249975000
I, 5, 50000, 851346683, 3170824, 1249975000
I, 6, 50000, 894455789, 3293872, 1249975000
I, 7, 50000, 896277632, 3307000, 1249975000
I, 8, 50000, 863525920, 3136180, 1249975000
I, 9, 50000, 1027244372, 3736066, 1249975000
I, 10, 50000, 826591407, 3000545, 1249975000
Quicksort sort for 5000 length array results
Q, 1, 5000, 117113, 909, 12497500
Q, 2, 5000, 108545, 903, 12497500
Q, 3, 5000, 111112, 1103, 12497500
Q, 4, 5000, 114402, 860, 12497500
Q, 5, 5000, 106665, 832, 12497500
Q, 6, 5000, 113472, 845, 12497500
Q, 7, 5000, 109194, 862, 12497500
Q, 8, 5000, 115720, 873, 12497500
Q, 9, 5000, 112705, 838, 12497500
Q, 10, 5000, 111877, 818, 12497500
Quicksort 25000 length array results
Q, 1, 25000, 665331, 4671, 312487500 
Q, 2, 25000, 627821, 5024, 312487500 
Q, 3, 25000, 694184, 5158, 312487500 
Q, 4, 25000, 694818, 4711, 312487500 
Q, 5, 25000, 675531, 5049, 312487500 
Q, 6, 25000, 666863, 4967, 312487500 
Q, 7, 25000, 638640, 4763, 312487500 
Q, 8, 25000, 751418, 5502, 312487500 
Q, 9, 25000, 615788, 4632, 312487500 
Q, 10, 25000, 632644, 4702, 312487500 
Quicksort 50000 length array results
Q, 1, 50000, 1484358, 10695, 1249975000
Q, 2, 50000, 1460386, 10618, 1249975000
Q, 3, 50000, 1606301, 10869, 1249975000
Q, 4, 50000, 1444225, 10764, 1249975000
Q, 5, 50000, 1403016, 10283, 1249975000
Q, 6, 50000, 1480127, 10451, 1249975000
Q, 7, 50000, 1434381, 10503, 1249975000
Q, 8, 50000, 1428388, 10222, 1249975000
Q, 9, 50000, 1420932, 10185, 1249975000
Q, 10, 50000, 1424820, 10520, 1249975000
